nba_id,player_name,first_name,last_name,season,season_label,team,lebron_team_string,position,games_played,minutes_played,team_mpg,lebron_mpg,lebron,o_lebron,d_lebron,war,off_role,def_role,team_wins,team_losses,team_win_pct,is_multi_team,team_count,name_match_key,name_match_status,basketball_reference_name,data_source,source_url
1627751,Jakob Poeltl,Jakob,Poeltl,2026,2025-26,TOR,TOR,C,46,1149,24.978,24.977,-0.18,-1.097,0.917,1.641,Roll + Cut Big,Mobile Big,46,36,0.561,false,1,jakob poeltl,exact_name,Jakob Poeltl,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/TOR/2026.html
1627752,Taurean Prince,Taurean,Prince,2026,2025-26,MIL,MIL,SF,26,611,23.5,23.51,-2.427,-1.652,-0.776,0.018,Movement Shooter,Helper,32,50,0.39,false,1,taurean prince,exact_name,Taurean Prince,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/MIL/2026.html
1627759,Jaylen Brown,Jaylen,Brown,2026,2025-26,BOS,BOS,SF,71,2443,34.408,34.404,1.515,1.865,-0.351,6.082,Shot Creator,Helper,56,26,0.683,false,1,jaylen brown,exact_name,Jaylen Brown,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/BOS/2026.html
1627780,Gary Payton Ii,Gary,Payton Ii,2026,2025-26,GSW,GSW,SG,73,1142,15.644,15.643,1.664,1.308,0.356,2.949,Stretch Big,Chaser,37,45,0.451,false,1,gary payton ii,exact_name,Gary Payton Ii,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/GSW/2026.html
1627783,Pascal Siakam,Pascal,Siakam,2026,2025-26,IND,IND,PF,62,2057,33.177,33.17,0.951,1.685,-0.734,4.397,Shot Creator,Wing Stopper,19,63,0.232,false,1,pascal siakam,exact_name,Pascal Siakam,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/IND/2026.html
1627824,Guerschon Yabusele,Guerschon,Yabusele,2026,2025-26,NYK,NYK/CHI,C,41,366,8.927,15.029,-1.214,-0.762,-0.452,0.786,Stretch Big,Mobile Big,53,29,0.646,true,2,guerschon yabusele,exact_name,Guerschon Yabusele,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/NYK/2026.html
1627824,Guerschon Yabusele,Guerschon,Yabusele,2026,2025-26,CHI,NYK/CHI,C,26,641,24.654,15.029,-1.214,-0.762,-0.452,0.786,Stretch Big,Mobile Big,31,51,0.378,true,2,guerschon yabusele,exact_name,Guerschon Yabusele,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/CHI/2026.html
1627826,Ivica Zubac,Ivica,Zubac,2026,2025-26,LAC,LAC/IND,C,43,1328,30.884,30.136,-0.136,-0.274,0.138,2.107,Post Scorer,Anchor Big,42,40,0.512,true,2,ivica zubac,exact_name,Ivica Zubac,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/LAC/2026.html
1627826,Ivica Zubac,Ivica,Zubac,2026,2025-26,IND,LAC/IND,C,5,118,23.6,30.136,-0.136,-0.274,0.138,2.107,Post Scorer,Anchor Big,19,63,0.232,true,2,ivica zubac,exact_name,Ivica Zubac,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/IND/2026.html
1627827,Dorian Finney-Smith,Dorian,Finney-Smith,2026,2025-26,HOU,HOU,PF,37,620,16.757,16.761,-3.248,-2.775,-0.472,-0.292,Stationary Shooter,Wing Stopper,52,30,0.634,false,1,dorian finney smith,exact_name,Dorian Finney-Smith,Basketball-Reference 2025-26 regular-season team totals + LEBRON CSV + user-supplied team W/L,https://www.basketball-reference.com/teams/HOU/2026.html
